snapped_at,price,market_cap,total_volume
2022-02-21 00:00:00 UTC,1.0016246907237534,52682266468.54881,2621165360.1018224
2022-02-22 00:00:00 UTC,1.001661979592078,52707824143.97695,4254540328.432854
2022-02-23 00:00:00 UTC,0.9997218294226481,52829973427.75537,3429815620.5038185
2022-02-24 00:00:00 UTC,1.0004966672036024,52870303585.746864,3203377274.751037
2022-02-25 00:00:00 UTC,1.0008244234927237,53249174589.12153,8012963715.277385
2022-02-26 00:00:00 UTC,1.0013726670549683,53155258428.14018,4441745801.323165
2022-02-27 00:00:00 UTC,1.0025797638859042,53354079813.04924,2531398929.4330807
2022-02-28 00:00:00 UTC,1.0024356061350308,53569960347.69177,3635184947.834986
2022-03-01 00:00:00 UTC,1.0005005774506812,53458489274.503975,4573101173.332572
2022-03-02 00:00:00 UTC,1.0005139115677077,53535209641.001274,4594120774.164407
2022-03-03 00:00:00 UTC,0.9996553708606641,53460734124.1892,4451814300.590418
2022-03-04 00:00:00 UTC,0.9993073172499783,53414694791.226585,3206278452.414011
2022-03-05 00:00:00 UTC,1.000158251546813,52845480300.88254,3961604962.1704035
2022-03-06 00:00:00 UTC,1.001170627256927,52941838088.14542,1995127657.6720543
2022-03-07 00:00:00 UTC,0.9999293398593809,52806695838.05569,2472295087.9414077
2022-03-08 00:00:00 UTC,0.9985686959770074,52183496666.59115,3545515553.392499
2022-03-09 00:00:00 UTC,1.000084905602014,52392565506.46329,3543306580.7416897
2022-03-10 00:00:00 UTC,0.9999741333106041,52382602555.68522,3547941368.776316
2022-03-11 00:00:00 UTC,1.0003230850131173,52536873749.484245,3307117784.2049723
2022-03-12 00:00:00 UTC,0.9992508425557571,52458033804.75082,3171535650.156289
2022-03-13 00:00:00 UTC,1.0003452289175847,52421564168.44505,1908498514.1385255
2022-03-14 00:00:00 UTC,1.0010941313432664,52430189477.74789,2144389052.4261868
2022-03-15 00:00:00 UTC,1.0007202201479635,52442627222.68491,3005129809.8778305
2022-03-16 00:00:00 UTC,0.9998504694718322,52304672903.338715,2951769459.006571
2022-03-17 00:00:00 UTC,0.999926767465406,52316342174.52529,4367877380.166681
2022-03-18 00:00:00 UTC,1.0006617430101565,52799091235.822136,3291431549.9123497
2022-03-19 00:00:00 UTC,1.000180956940051,52830384957.85386,3823748726.13629
2022-03-20 00:00:00 UTC,0.9998901531646284,52865924687.16587,2481103160.223196
2022-03-21 00:00:00 UTC,0.9995387480920084,52986600672.8747,2399215710.1673374
2022-03-22 00:00:00 UTC,0.9990389697376056,53033013665.34929,2778581647.0138383
2022-03-23 00:00:00 UTC,0.9995525568534767,52648557137.90509,3291374405.242808
2022-03-24 00:00:00 UTC,0.998884668090607,52312387349.31226,3038525394.8544607
2022-03-25 00:00:00 UTC,1.0002616763821996,52500264884.50487,3917985179.9743032
2022-03-26 00:00:00 UTC,0.9991693696620065,51872642831.0315,3476783452.817186
2022-03-27 00:00:00 UTC,0.9992760087124891,51968286154.62792,1962255664.9122674
2022-03-28 00:00:00 UTC,1.0006601158714568,51983272483.08239,2711595180.291202
2022-03-29 00:00:00 UTC,0.9993075320507919,52033109393.4391,4085039118.2762446
2022-03-30 00:00:00 UTC,1.00109088899508,51996541150.558464,4025232781.270891
2022-03-31 00:00:00 UTC,1.0078603676093456,52132452506.24457,3800078242.68862
2022-04-01 00:00:00 UTC,1.007539870387988,51709881548.52324,4381712670.0703745
2022-04-02 00:00:00 UTC,1.005591108743445,51950236854.862305,4575641345.974152
2022-04-03 00:00:00 UTC,1.003268137530022,51852952209.097885,3852786368.314281
2022-04-04 00:00:00 UTC,1.0010914973759344,51625573576.44143,3104939697.0132885
2022-04-05 00:00:00 UTC,1.0004016879143842,51611805895.360146,4042188287.3729916
2022-04-06 00:00:00 UTC,0.9979936309607375,51298300548.70658,3855613050.480142
2022-04-07 00:00:00 UTC,1.0014919605140231,50746204263.40102,5575582825.267528
2022-04-08 00:00:00 UTC,0.9965315374775506,50918438012.98016,3957249079.0876102
2022-04-09 00:00:00 UTC,0.9983373652752999,50844820961.14952,4216448326.151306
2022-04-10 00:00:00 UTC,1.0013035144964793,50831613833.527145,2150208471.3461814
2022-04-11 00:00:00 UTC,0.9977366828230368,50938471710.405594,2416416277.1318555
2022-04-12 00:00:00 UTC,0.997843958628759,50626993742.14749,5533104346.763256
2022-04-13 00:00:00 UTC,0.9975094853775734,50557027126.43927,4733509212.957141
2022-04-14 00:00:00 UTC,1.0000578524126749,50352516151.447945,4080595151.9056997
2022-04-15 00:00:00 UTC,0.9994327863325057,50227458392.826164,7883369820.948095
2022-04-16 00:00:00 UTC,0.9999587068447569,50134682250.43055,6250737926.172679
2022-04-17 00:00:00 UTC,0.9978280022294266,50054012926.457146,2928383856.516133
2022-04-18 00:00:00 UTC,0.9998454945463386,50048713207.89245,3264738032.319416
2022-04-19 00:00:00 UTC,0.9991704090642644,49860188963.9289,4919788202.559261
2022-04-20 00:00:00 UTC,0.9994108244555707,50018475091.44789,4377496418.94792
2022-04-21 00:00:00 UTC,0.9988019643947051,49863548514.863235,4708782336.747337
2022-04-22 00:00:00 UTC,0.999342968899157,49861799099.86763,4926574418.393008
2022-04-23 00:00:00 UTC,0.9994630211970946,49885461217.04316,4448443462.044781
2022-04-24 00:00:00 UTC,1.0010521060422581,49903732595.29322,2772420504.860207
2022-04-25 00:00:00 UTC,0.9992038359791782,49912345763.22157,3283256891.374452
2022-04-26 00:00:00 UTC,0.9994745287105754,49854024064.48293,5522510402.008914
2022-04-27 00:00:00 UTC,0.9979337196990294,49362464744.52182,4951371920.218731
2022-04-28 00:00:00 UTC,0.9975890703528679,49391470738.54542,4331078388.412239
2022-04-29 00:00:00 UTC,0.9985310295727029,49383094280.61025,4851391210.954736
2022-04-30 00:00:00 UTC,0.9973827291640682,49286152379.40319,4826584296.486804
2022-05-01 00:00:00 UTC,0.997960362064765,49179894107.55351,4425093871.187145
2022-05-02 00:00:00 UTC,0.9982434800797964,49285265562.80889,4338155113.767981
2022-05-03 00:00:00 UTC,0.9983558256459453,49141005064.36654,4520826901.560108
2022-05-04 00:00:00 UTC,0.9984317940780595,49029382275.05414,4451238317.79457
2022-05-05 00:00:00 UTC,0.9999476710243103,48776655220.89988,5029968482.610447
2022-05-06 00:00:00 UTC,0.9992701838558246,48837550840.18622,5846158975.013516
2022-05-07 00:00:00 UTC,0.9970394902574796,48447145523.6587,6065141274.48254
2022-05-08 00:00:00 UTC,0.9972543032355181,48504620165.86575,4128888129.523907
2022-05-09 00:00:00 UTC,0.9994690175097513,48600409738.57124,6275499723.182213
2022-05-10 00:00:00 UTC,0.9992029244053588,48657094759.71666,9681185484.445923
2022-05-11 00:00:00 UTC,0.9994516064611406,48451920961.813194,9993135096.530704
2022-05-12 00:00:00 UTC,1.0005203703802779,49012944580.02008,19551671594.001
2022-05-13 00:00:00 UTC,1.0015781331315325,49845265548.493996,24972352754.16513
2022-05-14 00:00:00 UTC,1.0023746383006948,50938222009.42086,8722778592.78773
2022-05-15 00:00:00 UTC,1.006853723878678,51311542814.74505,8832143663.35884
2022-05-16 00:00:00 UTC,1.0031404255289675,51276012853.61831,7606418724.524063
2022-05-17 00:00:00 UTC,1.0027424887083707,52172633713.00465,11527740091.479544
2022-05-18 00:00:00 UTC,1.0026620340112518,52382101410.14185,5384736331.882904
2022-05-19 00:00:00 UTC,1.0022252145704416,52477602164.67322,5844727435.845794
2022-05-20 00:00:00 UTC,1.0016758628573061,52829406131.99263,6966558328.630122
2022-05-21 00:00:00 UTC,1.0016744736661014,53023637496.412125,5547211215.215571
2022-05-22 00:00:00 UTC,1.002761445370339,53189636031.84309,2847337395.9763017
2022-05-23 00:00:00 UTC,1.0019158924826543,53262551890.12862,3353836315.4786267
2022-05-24 00:00:00 UTC,1.0018719500956539,53364339709.0994,5437183632.9306
2022-05-25 00:00:00 UTC,1.0006413008595887,53454117663.799805,4538409596.294488
2022-05-26 00:00:00 UTC,1.0004476274021938,53459678522.20076,4249466137.753642
2022-05-27 00:00:00 UTC,1.0021207542120438,53301625638.660904,7003945591.775048
2022-05-28 00:00:00 UTC,1.0004119104567086,53643467177.48334,6066301801.107318
2022-05-29 00:00:00 UTC,1.0028862651299584,53798595398.36748,3803450905.582561
2022-05-30 00:00:00 UTC,1.0039959984900884,53890889128.86624,3275305380.522811
2022-05-31 00:00:00 UTC,1.0012503278993103,53826859973.65647,6151348002.564031
2022-06-01 00:00:00 UTC,1.0006978334672612,54003654728.7661,5496047076.989393
2022-06-02 00:00:00 UTC,1.0006448198100686,54072438826.66845,5844914549.972615
2022-06-03 00:00:00 UTC,0.998762380823288,54076000823.576584,4779003756.470901
2022-06-04 00:00:00 UTC,1.000697897621939,54168799848.37451,3901504237.0647635
2022-06-05 00:00:00 UTC,1.0013500391358292,54094959418.309074,2764437266.760486
2022-06-06 00:00:00 UTC,1.0008107585344375,54187767666.53029,2829135415.5921087
2022-06-07 00:00:00 UTC,1.001435458436979,53828413758.921135,4261652446.8086476
2022-06-08 00:00:00 UTC,1.0020084453743354,53906740225.190636,5791456663.372619
2022-06-09 00:00:00 UTC,1.00070856363376,53755487848.0945,4154645563.673361
2022-06-10 00:00:00 UTC,1.0008539882774279,53849615435.72309,3005606416.353044
2022-06-11 00:00:00 UTC,1.0016130260459266,53908143847.913895,4284497590.109335
2022-06-12 00:00:00 UTC,1.0002012202693988,53874889528.71376,4648466417.760889
2022-06-13 00:00:00 UTC,1.0009021543138066,54301279573.94459,6004929146.458891
2022-06-14 00:00:00 UTC,1.00381995630208,54292415557.748245,14753497439.368547
2022-06-15 00:00:00 UTC,1.0011796491117764,54202231644.04311,9241689921.030115
2022-06-16 00:00:00 UTC,1.0045079115644784,54490560449.41742,10958855573.600758
2022-06-17 00:00:00 UTC,1.0042649435258966,54854866421.04119,5924549479.601889
2022-06-18 00:00:00 UTC,1.000134453274533,55155090582.98617,5020832991.968532
2022-06-19 00:00:00 UTC,1.0035852599488326,55466165647.24163,7426447490.37145
2022-06-20 00:00:00 UTC,1.0032313098282208,56128609415.48004,5892721097.627741
2022-06-21 00:00:00 UTC,1.002762724140082,55879082300.27463,5175871292.9197
2022-06-22 00:00:00 UTC,0.9996692814201205,55889328008.07019,4969454121.771696
2022-06-23 00:00:00 UTC,1.0001252786626553,55915586934.603455,4524614212.887667
2022-06-24 00:00:00 UTC,1.001793195837817,55738930116.11856,4874244249.630765
2022-06-25 00:00:00 UTC,0.9994292488736993,55911195637.68311,5386670067.609042
2022-06-26 00:00:00 UTC,1.003277301251872,56026893004.27495,3360326401.072067
2022-06-27 00:00:00 UTC,1.0013309387999794,56053317628.7348,3172518242.612228
2022-06-28 00:00:00 UTC,1.000898739646994,55645129055.448685,4155556671.7360945
2022-06-29 00:00:00 UTC,1.0010053735383255,55645129055.448685,4538606310.624577
2022-06-30 00:00:00 UTC,1.0008508049761433,55645129055.448685,5324472706.029797
2022-07-01 00:00:00 UTC,0.987916159084029,56159787682.472305,4557758119.148903
2022-07-02 00:00:00 UTC,1.000927489314098,55806408740.92539,5331593538.997751
2022-07-03 00:00:00 UTC,1.0013602107347979,55812518073.50494,4017113217.106134
2022-07-04 00:00:00 UTC,1.0018720103535879,55906902222.565636,3624563537.969685
2022-07-05 00:00:00 UTC,1.0019073878881266,55965537332.53801,4998335536.779184
2022-07-06 00:00:00 UTC,1.0014387178053,55902560070.19187,5260709898.565188
2022-07-07 00:00:00 UTC,1.0010750828780794,55666378875.87381,4657283225.5497
2022-07-08 00:00:00 UTC,1.0017517473851727,55457611328.153305,4555440742.3892765
2022-07-09 00:00:00 UTC,1.0037098167785827,55451756130.59569,5438081273.960039
2022-07-10 00:00:00 UTC,1.0003520891920836,55553592501.15755,4175402289.5252333
2022-07-11 00:00:00 UTC,1.0005564858590337,55460735369.85548,3875823211.0773096
2022-07-12 00:00:00 UTC,1.000042306630681,55503183941.530876,4348230517.337468
2022-07-13 00:00:00 UTC,1.0015175895819546,55307053640.016075,4339289384.558643
2022-07-14 00:00:00 UTC,1.001283866302982,55471635119.32025,4944858818.858617
2022-07-15 00:00:00 UTC,1.001560508760777,55299310302.63413,4731231405.5164995
2022-07-16 00:00:00 UTC,0.9995880108137981,54746590063.74996,5076593407.48305
2022-07-17 00:00:00 UTC,1.0001129965966735,54834591386.65053,4704627206.358405
2022-07-18 00:00:00 UTC,1.0015423483253993,54898002728.15673,5436876781.88312
2022-07-19 00:00:00 UTC,1.000184435553639,54874165484.06101,8404220141.49945
2022-07-20 00:00:00 UTC,0.9993341037940847,54830779475.6825,8519137171.581565
2022-07-21 00:00:00 UTC,0.9950448335639163,54793379074.026436,7504395112.41121
2022-07-22 00:00:00 UTC,1.0001843713857794,55019913818.36348,6325461595.5909395
2022-07-23 00:00:00 UTC,1.0006981765746814,54906314484.15263,5565499576.983699
2022-07-24 00:00:00 UTC,1.0011930931041426,55149837928.061935,4623758306.4188
2022-07-25 00:00:00 UTC,0.9984942488383861,55180646381.89537,4181986245.649057
2022-07-26 00:00:00 UTC,1.002722681975606,55205872053.038345,5621230537.79753
2022-07-27 00:00:00 UTC,1.0002475469751442,55166381187.93518,6271208224.484685
2022-07-28 00:00:00 UTC,1.000709278443295,55102333941.14905,7782061228.0027075
2022-07-29 00:00:00 UTC,1.0024974943680691,54807696396.953835,8705126859.712116
2022-07-30 00:00:00 UTC,0.9999811159180616,54776435814.41119,7435321962.8580065
2022-07-31 00:00:00 UTC,1.0008721338646451,54486021782.7533,5527832241.697628
2022-08-01 00:00:00 UTC,0.9999873637155899,54475694589.20637,6576375142.910929
2022-08-02 00:00:00 UTC,1.001107250649658,54363171984.42034,9783709752.188814
2022-08-03 00:00:00 UTC,0.9988029064925367,54400868590.981445,8372478922.454746
2022-08-04 00:00:00 UTC,1.0020473944640365,54392871105.05808,6979879222.194115
2022-08-05 00:00:00 UTC,1.0015081493099625,54163409630.76019,6298187959.181191
2022-08-06 00:00:00 UTC,1.0009442670435926,54288769568.96059,6220517448.582044
2022-08-07 00:00:00 UTC,1.0006356558982374,54298760703.141335,3886091508.3620186
2022-08-08 00:00:00 UTC,0.9995124440691248,54269365269.62653,3300653965.508534
2022-08-09 00:00:00 UTC,1.000897821425,54212233071.07359,6623262812.774163
2022-08-10 00:00:00 UTC,1.0029526303272513,54162812659.97191,110291776337.18643
2022-08-11 00:00:00 UTC,1.0005100226326145,53941490099.201256,7891584968.666391
2022-08-12 00:00:00 UTC,0.9999590914921812,53838264961.70188,8735528432.119457
2022-08-13 00:00:00 UTC,1.0008849417056704,53922771547.85243,6477911348.066095
2022-08-14 00:00:00 UTC,1.001678327127191,53907543362.51786,5719481652.3067045
2022-08-15 00:00:00 UTC,0.999402494107484,53617936749.1216,4395957525.432378
2022-08-16 00:00:00 UTC,1.0019113537335504,53586366039.73065,7323677231.602783
2022-08-17 00:00:00 UTC,1.0011369166024617,53563274699.32942,6057253174.220955
2022-08-18 00:00:00 UTC,1.0002388374879916,53192725314.53188,6330005135.847853
2022-08-19 00:00:00 UTC,1.0002788438794517,52880168877.73022,5127733672.234737
2022-08-20 00:00:00 UTC,1.0020189088327711,52523070333.1086,7381891848.843797
2022-08-21 00:00:00 UTC,0.9997374583784313,52437858149.54976,5008903194.492922
2022-08-22 00:00:00 UTC,1.0025644540283143,52659400310.54224,5209884663.98984
2022-08-23 00:00:00 UTC,1.0016507651404432,52340061743.20675,5920945530.548034
2022-08-24 00:00:00 UTC,1.0006712733814105,52325574418.02968,7033204613.175829
2022-08-25 00:00:00 UTC,0.9999661500393723,52246887020.489006,7246574555.316679
2022-08-26 00:00:00 UTC,1.0007480243833322,52161487277.005516,7170956716.396074
2022-08-27 00:00:00 UTC,1.0025074832123686,52221735774.71103,8621134920.567266
2022-08-28 00:00:00 UTC,0.9996317307120736,52159828556.133766,7164621680.952881
2022-08-29 00:00:00 UTC,1.003886902342166,52302755946.51703,6243799710.601595
2022-08-30 00:00:00 UTC,1.001497848866154,52313311695.47574,8096717102.397666
2022-08-31 00:00:00 UTC,0.998433948158214,52328535498.43664,5544622882.791333
2022-09-01 00:00:00 UTC,0.9984481799203785,52330137597.63609,4422416417.745762
2022-09-02 00:00:00 UTC,1.0017956651506421,52054122243.281586,4267633151.963472
2022-09-03 00:00:00 UTC,1.000137643458292,51839811822.72789,4651799549.908154
2022-09-04 00:00:00 UTC,1.0009214363099288,51916991289.02468,4834712142.7967205
2022-09-05 00:00:00 UTC,1.0000013247208923,51857089829.07093,6095509084.509277
2022-09-06 00:00:00 UTC,0.9990258180019856,51836941615.72951,6009353349.375604
2022-09-07 00:00:00 UTC,0.9992219495097245,51555774392.79027,7473448779.631823
2022-09-08 00:00:00 UTC,0.9998429780634435,51713335978.84526,5982015057.497065
2022-09-09 00:00:00 UTC,1.0003531810390973,51684200639.11994,5582000721.860657
2022-09-10 00:00:00 UTC,1.0007949948161798,51708716431.37792,7412690889.191983
2022-09-11 00:00:00 UTC,1.0012463448530924,51660632936.89371,5922094756.073108
2022-09-12 00:00:00 UTC,0.9983569681663387,51573885797.86316,5249421517.642499
2022-09-13 00:00:00 UTC,1.000117683144238,51439632692.07493,6394639031.448997
2022-09-14 00:00:00 UTC,1.0001029691996703,51382830584.97773,7295219105.666907
2022-09-15 00:00:00 UTC,0.9999388264649721,50699690764.68886,5658088092.948023
2022-09-16 00:00:00 UTC,1.0002848993946873,50362962307.83526,7489176466.290812
2022-09-17 00:00:00 UTC,0.9988865630299611,50321821840.55519,8632343737.31026
2022-09-18 00:00:00 UTC,1.0004191918133625,50275732998.17199,3568494122.6607
2022-09-19 00:00:00 UTC,1.0012678862659754,50246500269.10349,3923959719.984875
2022-09-20 00:00:00 UTC,0.9997087710801589,49984828099.68424,5480973813.492177
2022-09-21 00:00:00 UTC,0.9999088730823096,50170337209.851295,4801381017.965925
2022-09-22 00:00:00 UTC,0.9999441844762239,49961843472.70167,5514131668.833503
2022-09-23 00:00:00 UTC,1.001852519828619,49892551993.93781,5146523862.614883
2022-09-24 00:00:00 UTC,1.0012685355772415,49869385732.3609,4949831359.008813
2022-09-25 00:00:00 UTC,1.0000044761828473,49778209173.60821,3527342174.5140567
2022-09-26 00:00:00 UTC,1.0009776478360517,49676427403.12579,3417005537.621279
2022-09-27 00:00:00 UTC,0.9985917258060494,49228298552.37009,4020905359.5717845
2022-09-28 00:00:00 UTC,1.0002095685502221,49197363299.44202,4539672508.861121
2022-09-29 00:00:00 UTC,1.0025276993414085,48925297414.18055,4367331433.594373
2022-09-30 00:00:00 UTC,0.9995279930510553,48516414136.991325,3570551938.352542
2022-10-01 00:00:00 UTC,1.0010459242505185,47317566543.662346,4032237636.3717976
2022-10-02 00:00:00 UTC,0.9991858101139214,47217028392.141754,2615559807.4049726
2022-10-03 00:00:00 UTC,1.0003754546415295,47429205566.80099,2504356631.2806797
2022-10-04 00:00:00 UTC,0.9995502082286358,47127777473.428444,4013031768.661488
2022-10-05 00:00:00 UTC,0.9995600846035014,46767462842.158936,3208379425.8877363
2022-10-06 00:00:00 UTC,0.9996610418568813,46412465271.411156,3324738334.387886
2022-10-07 00:00:00 UTC,1.0011873099376982,46188993440.89064,3959132770.757269
2022-10-08 00:00:00 UTC,1.002625183400536,46210937641.39333,3620546705.757089
2022-10-09 00:00:00 UTC,0.9999741924451822,46054961500.96836,2229336694.5876007
2022-10-10 00:00:00 UTC,0.999942987788717,45974636493.609,2047288195.135027
2022-10-11 00:00:00 UTC,0.9992058909394936,45967669158.001495,3091397634.2386737
2022-10-12 00:00:00 UTC,1.0008735810575131,45948598246.08482,3241058815.9304333
2022-10-13 00:00:00 UTC,1.0001337366144318,45868986890.18036,2652330671.312619
2022-10-14 00:00:00 UTC,1.000478021307177,45509587292.7311,4434231602.783146
2022-10-15 00:00:00 UTC,1.000137047044939,44952268038.475334,4041102948.91242
2022-10-16 00:00:00 UTC,1.0001290853416411,45014733395.86217,2341774320.5206594
2022-10-17 00:00:00 UTC,1.000404655668149,45007234186.11907,2303487577.2562547
2022-10-18 00:00:00 UTC,0.9996950819679201,44756383398.37214,3116996651.9908137
2022-10-19 00:00:00 UTC,0.9984997659653696,44552999522.06491,2972840890.7373753
2022-10-20 00:00:00 UTC,1.00056366629016,44399264134.655396,2642921668.187935
2022-10-21 00:00:00 UTC,0.9989879275636951,43915403661.56201,2492035604.7730064
2022-10-22 00:00:00 UTC,0.9990341380827902,43900140152.31232,2887865725.572057
2022-10-23 00:00:00 UTC,0.9995501903468565,43913475709.85313,1728042717.195292
2022-10-24 00:00:00 UTC,1.0013627229950774,43923123683.40675,2172138615.975569
2022-10-25 00:00:00 UTC,0.9997577077333938,43774483587.58443,2930733794.6190386
2022-10-26 00:00:00 UTC,0.9997724365831456,43760353889.53523,4445717330.124076
2022-10-27 00:00:00 UTC,0.9998929966974234,43823149351.61729,4752827005.247087
2022-10-28 00:00:00 UTC,1.0000770371590273,43971339153.10381,4442723405.05996
